sub_id,trial_number,trial_mode,box_number,total_distance,trial_time
s101,1,3,12,0.7018436780609418,5.344
s101,2,3,12,0.9101743114856972,5.554
s101,3,1,8,0.5770926635489562,3.35
s101,4,1,4,0.3665359172132424,2.259
s101,5,2,12,0.8255201589187505,11.551
s101,6,3,8,0.4856495024091097,3.373
s101,7,2,4,0.5393078234383302,5.524
s101,8,4,8,0.6674457433348754,6.91
s101,9,3,4,0.4481776873751894,2.467
s101,10,1,4,0.4060441545118136,2.375
s101,11,3,4,0.3949667720942509,2.423
s101,12,3,12,0.6923539790467813,4.503
s101,13,4,4,0.3236145906717261,3.609
s101,14,1,12,0.8034069272049938,4.815
s101,15,4,8,0.6188529660252373,7.366
s101,16,2,8,0.4027678972481781,4.229
s101,17,3,8,0.4469414969003299,2.92
s101,18,2,4,0.30405984591230445,2.475
s101,19,3,12,0.7302910866336852,5.03
s101,20,1,4,0.21803001186778373,1.499
s101,21,1,4,0.3362606628073491,2.222
s101,22,2,12,1.2735804117220042,14.808
s101,23,2,4,0.3373887081987,3.627
s101,24,3,12,0.8624631121167329,6.414
s101,25,4,8,0.7304614804590811,7.21
s101,26,1,8,0.7093788923284539,4.575
s101,27,1,8,0.5995180042122323,3.686
s101,28,4,4,0.442698410061256,4.077
s101,29,1,8,0.47717275370653806,2.801
s101,30,3,4,0.4887475768256472,2.477
s101,31,2,12,0.9893652169247276,9.853
s101,32,3,4,0.30720174272092415,1.657
s101,33,1,4,0.3971548353012653,1.885
s101,34,3,8,0.6109833484377485,3.548
s101,35,4,4,0.15072023774465174,2.557
s101,36,3,4,0.3189012158290722,2.028
s101,37,1,4,0.4298667796066265,2.665
s101,38,1,12,0.7172851636409925,4.807
s101,39,4,8,0.4320482438731507,4.167
s101,40,2,8,0.5469964761404754,4.971
s101,41,3,8,0.6050434829182477,3.607
s101,42,3,4,0.2671425254960686,1.868
s101,43,3,12,0.7416437703915211,4.333
s101,44,4,4,0.49180009069716984,4.912
s101,45,1,4,0.3887829411778045,2.326
s101,46,4,12,0.5319487074196203,7.076
s101,47,1,12,0.6334834390002144,3.88
s101,48,1,12,0.656304930915224,4.381
s101,49,3,4,0.3995098964176134,2.021
s101,50,4,4,0.16734656449239138,1.491
s101,51,1,8,0.663286678827842,3.108
s101,52,3,4,0.7851089790867821,3.565
s101,53,1,8,1.0298734041145936,5.122
s101,54,2,8,0.7345093076170625,7.343
s101,55,3,12,0.7225619400013464,4.562
s101,56,4,4,0.1542320348653802,1.915
s101,57,2,12,0.7418066614698992,6.283
s101,58,3,8,0.5776073312165734,3.638
s101,59,2,12,0.7412065781828407,5.654
s101,60,1,4,0.3442314146077835,1.831
s101,61,2,4,0.48199429578193703,3.44
s101,62,3,12,0.8021052542144057,4.354
s101,63,1,4,0.3114200012684172,1.722
s101,64,3,8,0.702150578033272,3.71
s101,65,3,4,0.4807295872247995,2.389
s101,66,2,8,0.6392641383685855,5.371
s101,67,1,8,0.5536662611954473,3.287
s101,68,2,8,0.8713825271206391,8.658
s101,69,1,4,0.3651178548240825,1.913
s101,70,2,8,0.4901866227016957,4.742
s101,71,1,12,0.7314684340135377,4.829
s101,72,1,12,0.7197924475162512,4.823
s101,73,2,4,0.47093313746126225,4.048
s101,74,1,12,0.8919771133393671,4.408
s101,75,3,12,0.7145462560712372,4.268
s101,76,3,8,0.5934218715548829,3.765
s101,77,3,8,0.6868165222353408,3.84
s101,78,4,4,0.3908946239484042,3.404
s101,79,2,4,0.4786804742307188,4.018
s101,80,3,12,0.9065674603918988,4.22
s101,81,3,8,0.6195019651878209,3.09
s101,82,3,12,0.6741942669199655,3.852
s101,83,3,12,0.9472035022637944,5.06
s101,84,3,12,1.0942678976224651,5.576
s101,85,2,4,0.3025996561724909,2.052
s101,86,3,12,0.68004389245949,4.29
s101,87,4,4,0.19076875496048115,1.639
s101,88,3,8,0.7880160707659334,4.265
s101,89,3,12,0.7892837833565649,4.672
s101,90,1,12,0.8323232977145134,5.064
s101,91,2,8,0.4416992185954885,3.217
s101,92,3,4,0.3728545158542477,2.222
s101,93,3,4,0.31063622635354865,1.936
s101,94,2,8,0.7296775281170375,6.315
s101,95,2,12,1.1561999681616142,13.669
s101,96,2,4,0.2388685380662018,1.834
s101,97,3,12,0.7047114445523306,3.931
s101,98,2,8,0.9013682286057998,6.341
s101,99,3,8,0.5980540308304994,4.117
s101,100,3,4,0.3874517661909237,1.851
s101,101,1,12,0.6975056846028755,3.95
s101,102,3,12,0.7907788918434334,4.077
s101,103,2,4,0.15412834740088818,1.542
s101,104,2,12,1.099541086899377,10.548
s101,105,2,12,0.702642270084349,8.835
s101,106,3,8,0.5242584887446234,2.938
s101,107,3,4,0.3898229035771352,2.009
s101,108,3,8,0.3187616588100596,2.423
